Actual,Predicted
968.01,968.0100000000016
4724.660000000001,4724.66
2521.02,2521.0199999999973
2443.02,2443.020000000003
1482.18,1482.1799999999987
7149.83,7149.829999999996
126.61,126.60999999999967
5583.02,5583.02
1231.5,1231.5000000000043
894.86,894.860000000002
558.4300000000001,558.4299999999998
3331.78,3331.7799999999997
2298.06,2298.060000000003
6845.29,6845.290000000001
501.06,501.0600000000013
5566.52,5566.519999999999
5954.97,5954.969999999999
2223.27,2223.2699999999986
2223.27,2223.269999999998
1838.0,1838.000000000001
726.87,726.869999999999
3670.05,3670.05
5913.81,5913.810000000001
6435.36,6435.359999999999
5992.54,5992.5400000000045
5939.4400000000005,5939.440000000003
4005.07,4005.0700000000015
983.8,983.8000000000006
2406.74,2406.7400000000025
1435.0100000000002,1435.0099999999986
2390.31,2390.3099999999968
1978.26,1978.2600000000011
2798.15,2798.1499999999974
6403.910000000001,6403.9100000000035
106.24,106.24000000000115
1611.72,1611.7200000000034
1754.35,1754.3500000000013
2534.49,2534.4900000000007
2849.5200000000004,2849.52
6781.900000000001,6781.9000000000015
463.96,463.96000000000095
3145.64,3145.6400000000017
3371.6,3371.599999999999
2037.68,2037.679999999999
1560.15,1560.1500000000021
6797.93,6797.930000000002
8139.95,8139.950000000002
5964.030000000001,5964.030000000001
6443.47,6443.470000000001
3056.48,3056.4800000000014
